#oc-R11D9D7SHXIJB9	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R11O5J5ZVQE25C	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R12MGTQS5KZZRV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R14ZSRYW2YB41B	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R155JB2SA58E17	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R162D7S0A880MV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R163CP16SRRI50	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R19EJ3VEA88T6O	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1CF9LIM90SAB6	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GKUU1PTIDIZ7	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GSBW9QIVY489	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1K4OCJ8HEIEDY	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1QHGBT11WAS7G	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1U8FAII0QYOT3	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1UO6NAAGVBW7Z	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1VRD09DW4H2HI	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R26DKYCO954ZWP	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R28I1AL1ZAZLXL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2B86BJE5FNKXX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2HWL8UHAIMFRS	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2K9AJ2LWO7ZUJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2M17G7NB9RAIV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2MG5C3DMRU8Q0	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2R45EEG606NCJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W0C6DARSLJ0S	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W66Y63G88976	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2XZVYL146WRFL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2YPVWM76O2TFX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R31AI08Q9HLVF1	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R34PQ2ORKQ6WCD	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3DERHJ8UWPZZ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3EDGA2893DM4Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3F0UDHOQC1RNU	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3OS88C8I7GSS5	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RMG4F3JAN4CE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RQNMHS7481DE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3SRKE3YQ2BNES	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TXZAQ0JD85LR	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TZTZQ7UHNM8Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RKU1BA6XFA3Q4	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RMBODWNVK1H1D	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RODMQLZAXFCUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RS2VFRNYYRVUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RSZMLJGJRON5W	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RUCLMJ3IUSWPC	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXCJ97CMQTXVA	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXFX0AFFBDSJN	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
A015565634RZNSDLJBE5M	  {'B007KIOBMS', 'B003PFPFIE', 'B000MTM0WK'}
A09539661HB8JHRFVRDC	  {'B002R8SLUY', 'B002R8UANK', 'B002R8J7YS'}
A1001H5ESPYUFH	  {'B004B3WWC6', 'B0015Y943Y', 'B004B44ZQ6'}
A1001WMV1CL0XH	  {'B005DGI242', 'B005DGI2II', 'B005DGI1PW', 'B005DGI1VG', 'B005EXGE5I', 'B005DGI1IY'}
A10023OS6MZUC6	  {'B000N4K7MO', 'B000N9YF4K', 'B001RVCAAE'}
A1004703RC79J9	  {'B0090X8IPM', 'B003XDH6M6', 'B003GTR8IO', 'B001E50THY', 'B001OCKIP0'}
A1006HCQDMYC5W	  {'B000LKVT90', 'B000N543Y6', 'B000GG0BNE'}
A1007PT85CIPMD	  {'B0009ETA6W', 'B0009F3POY', 'B0009ETA76', 'B0009Y8AGI'}
A100F0WIYUNZWY	  {'B001CPQPXI', 'B001CPN9PU', 'B001CPSK0E'}
A100FEBX2RMQDW	  {'B006ZZC0FW', 'B0085YB426', 'B0085YB4DU', 'B001D0KG3W'}
A100IC7JRCQDUD	  {'B000CQE3HS', 'B000CQE3IC', 'B000CQID1A', 'B000CQID1K', 'B00016Q6BK', 'B000RI1W8E'}
A100R4CDI5LE3I	  {'B003YUW7EK', 'B00474VPLI', 'B007OXJK1Q', 'B00451SD4U'}
A100WO06OQR8BQ	  {'B004JGQ15E', 'B007KIOBMS', 'B000MTM0WK', 'B001CFMGGI', 'B006BXUY2Y', 'B004U43ZO0', 'B002LANN56', 'B000H7LVKY', 'B001Q9EFW8', 'B007JT7ARQ', 'B004YV80O4', 'B001Q9EFVY', 'B004E4EBMG', 'B004OQ257M', 'B003PFPFIE', 'B0045XE32E', 'B007JT7AEY', 'B004NSH6O8', 'B004E4CCSQ', 'B001SB1F1I', 'B000H7ELTW', 'B006BXV14E'}
A100ZQDV7L8PVV	  {'B002TN49F8', 'B007RTR8UM', 'B007RTR8AC', 'B0040K41MY', 'B0000DCWW5', 'B003YJ6TS6'}
A10103MJIKKIFE	  {'B003IRJTCC', 'B004CLCEDE', 'B0078SITZK', 'B008MMFDLE', 'B0006SKCVI', 'B000ED9L9E'}
A1011I2PCI4K8B	  {'B00356FRR2', 'B00356BOKQ', 'B0027E4OH2', 'B003YBJ9JA'}
A1017Q5HHWNALE	  {'B000FNEX8C', 'B000FNB3AI', 'B000FNH1C2', 'B0016CMVZI'}
A101EVFXW8G49L	  {'B00384GGLC', 'B00384ABT0', 'B00384GGGC', 'B0016687F2', 'B001IQ1ITW'}
A101P2KHWCU0G6	  {'B001397WYY', 'B00139C3P2', 'B000VK4K3W', 'B000VK6TKO', 'B000VK8HJ0', 'B001PMC3O8', 'B001PMDYXW', 'B001397WV2', 'B001PMDYV4'}
A101QLG5FZ2BKS	  {'B003ORWCZW', 'B002HFWMXE', 'B000V36U3M', 'B001IZHZYA'}
A101RRYMZM4KYV	  {'B0018CLWS8', 'B003Y3D9R6', 'B002U1VYXY', 'B002GWFAM8', 'B001XWNGBE', 'B001E5DZWK'}
A102ALA6MI312B	  {'B000E9WB8Q', 'B000EA2D9C', 'B001PICXX8', 'B000EA0D1C'}
A102J89MAM4EPS	  {'B008QLRI4G', 'B007ATOR2Q', 'B006XYUS5O', 'B0087GH4US'}
A102LGENFE31YQ	  {'B000CQE3HS', 'B000CQE3IC', 'B000CQID1A', 'B000RI1W8E', 'B000CQID1K'}
A102LH0KD8SYHX	  {'B001397WYY', 'B00139C3P2', 'B000VK4K3W', 'B000VK6TKO', 'B000VK8HJ0', 'B001PMC3O8', 'B001PMDYXW', 'B001397WV2', 'B001PMDYV4', 'B000WSHV1Q'}
A102RDJLOHWS0W	  {'B004JJQG9W', 'B000RHXI7I', 'B002GWFA1Y', 'B001EQ4P46'}
A102RYUBEQR4CM	  {'B0034EDMLI', 'B0034EDMCW', 'B0034EFIYC', 'B0034EDM2W', 'B0034EDLS2'}
A102SPSNVRMF72	  {'B0029ZAOW8', 'B003QNLUTI', 'B001AS1A4Q', 'B003QNJYXM'}
A102TGNH1D915Z	  {'B000XJK7UG', 'B0002DHNXC', 'B0009YD7P2', 'B000RHXKC6', 'B000SP1CWW', 'B00008DFK5'}
A102UXGLDF76G1	  {'B001HTP04E', 'B000CR41D8', 'B0012AQN8U', 'B000CR008I', 'B001HTC17S', 'B001HTJ49G', 'B00153C4B4', 'B000CQY378', 'B000CR00FQ', 'B001EO5U88'}
A102XGOTZZZ9C2	  {'B001BSBFJU', 'B000WEKOQE', 'B000FPH1NY', 'B000FPKZPK', 'B000FPM58K', 'B001BS4G0K', 'B0015ZLKX0', 'B0050HZLN4'}
A102XKYZE9Q9L4	  {'B00019TMK4', 'B000X2CWTM', 'B004Y4Z9CC'}
A10317LUD1C1VJ	  {'B000ESJR20', 'B0014EQHUS', 'B000J2DQ46'}
A1031BS8KG7I02	  {'B002YJ0118', 'B000PDY3HI', 'B000PDY3P0', 'B000PDWBKO'}
